subj_idx,Trial,rt,gainVal,lossVal,cntrlVal,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount,rt_sec
1011,2,0,1,1,0,0,0,NoLoss,NA   ,1,0
1011,4,390,1,1,0,1,1,Cntrl ,Cntrl ,1,0.39
1011,6,0,1,1,0,0,0,Gain  ,NA   ,1,0
1011,8,0,1,1,0,0,0,Cntrl ,NA   ,1,0
1011,10,418,1,1,0,1,0,Cntrl ,Cntrl ,1,0.418
1011,12,426,1,1,0,1,0,NoLoss,NoLoss,1,0.426
1011,14,351,1,1,0,1,1,Cntrl ,Cntrl ,1,0.351
1011,16,453,1,1,0,1,0,Cntrl ,Cntrl ,1,0.453
1011,18,491,1,1,0,1,0,Gain  ,Gain  ,1,0.491
1011,20,480,1,1,0,1,0,NoLoss,NoLoss,1,0.48
1011,22,283,1,1,0,1,1,Cntrl ,Cntrl ,1,0.283
1011,24,428,1,1,0,1,0,Gain  ,Gain  ,1,0.428
1011,26,364,1,1,0,1,1,Cntrl ,Cntrl ,1,0.364
1011,28,387,1,1,0,1,1,NoLoss,NoLoss,1,0.387
1011,30,398,1,1,0,1,1,Cntrl ,Cntrl ,1,0.398
1011,32,287,1,1,0,1,1,Gain  ,Gain  ,1,0.287
1011,34,338,1,1,0,1,1,Gain  ,Gain  ,1,0.338
1011,36,432,1,1,0,0,0,Cntrl ,NoLoss,1,0.432
1011,38,385,1,1,0,1,1,Cntrl ,Cntrl ,1,0.385
1011,40,0,1,1,0,0,0,Gain  ,NA   ,1,0
1011,42,408,1,1,0,1,0,NoLoss,NoLoss,1,0.408
1011,44,0,1,1,0,0,0,NoLoss,NA   ,1,0
1011,46,266,1,1,0,1,1,Cntrl ,Cntrl ,1,0.266
1011,48,412,1,1,0,1,0,NoLoss,NoLoss,1,0.412
1011,50,294,1,1,0,1,1,Cntrl ,Cntrl ,1,0.294
1011,52,387,1,1,0,1,1,Cntrl ,Cntrl ,1,0.387
1011,54,496,1,1,0,1,0,NoLoss,NoLoss,1,0.496
1011,56,459,1,1,0,0,0,NoLoss,Gain  ,1,0.459
1011,58,394,1,1,0,1,1,NoLoss,NoLoss,1,0.394
1011,60,321,1,1,0,1,1,Gain  ,Gain  ,1,0.321
1011,62,0,1,1,0,0,0,Gain  ,NA   ,1,0
1011,64,388,1,1,0,1,1,NoLoss,NoLoss,1,0.388
1011,66,411,1,1,0,1,0,Gain  ,Gain  ,1,0.411
1011,68,427,1,1,0,0,0,Gain  ,Cntrl ,1,0.427
1011,70,436,1,1,0,1,0,NoLoss,NoLoss,1,0.436
1011,72,305,1,1,0,1,1,Cntrl ,Cntrl ,1,0.305
1011,74,0,1,1,0,0,0,Gain  ,NA   ,1,0
1011,76,348,1,1,0,1,1,NoLoss,NoLoss,1,0.348
1011,78,318,1,1,0,1,1,Cntrl ,Cntrl ,1,0.318
1011,80,429,1,1,0,1,0,Gain  ,Gain  ,1,0.429
1011,82,422,1,1,0,1,0,Gain  ,Gain  ,1,0.422
1011,84,430,1,1,0,1,0,NoLoss,NoLoss,1,0.43
1011,86,306,1,1,0,1,1,Cntrl ,Cntrl ,1,0.306
1011,88,481,1,1,0,1,0,Cntrl ,Cntrl ,1,0.481
1011,90,387,1,1,0,1,1,NoLoss,NoLoss,1,0.387
1011,92,380,1,1,0,1,1,Gain  ,Gain  ,1,0.38
1011,94,381,1,1,0,1,1,Gain  ,Gain  ,1,0.381
1011,96,394,1,1,0,1,1,NoLoss,NoLoss,1,0.394
1011,98,0,1,1,0,0,0,NoLoss,NA   ,1,0
1011,100,407,1,1,0,1,0,Gain  ,Gain  ,1,0.407
1011,102,372,1,1,0,1,1,NoLoss,NoLoss,1,0.372
1011,104,362,1,1,0,1,1,NoLoss,NoLoss,1,0.362
1011,106,380,1,1,0,0,0,NoLoss,Gain  ,1,0.38
1011,108,0,1,1,0,0,0,Gain  ,NA   ,1,0
1011,110,371,1,1,0,1,1,NoLoss,NoLoss,1,0.371
1011,112,375,1,1,0,1,1,NoLoss,NoLoss,1,0.375
1011,114,359,1,1,0,1,1,Gain  ,Gain  ,1,0.359
