subj_idx,Trial,Response_Counterbalanced,CorrectResponse_Counterbalanced,rt,rt_sec,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount
1011,1,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,2,NA,3,0,0,0,0,NoLoss,NA   ,1
1011,3,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,4,2,2,390,0.39,1,1,Cntrl ,Cntrl ,1
1011,5,NA,3,0,0,0,0,NoLoss,NA   ,1
1011,6,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,7,2,3,387,0.387,0,0,NoLoss,Cntrl ,1
1011,8,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,9,1,1,490,0.49,1,0,Gain  ,Gain  ,1
1011,10,2,2,418,0.418,1,0,Cntrl ,Cntrl ,1
1011,11,1,1,480,0.48,1,0,Gain  ,Gain  ,1
1011,12,3,3,426,0.426,1,0,NoLoss,NoLoss,1
1011,13,1,1,425,0.425,1,0,Gain  ,Gain  ,1
1011,14,2,2,351,0.351,1,1,Cntrl ,Cntrl ,1
1011,15,3,3,385,0.385,1,1,NoLoss,NoLoss,1
1011,16,2,2,453,0.453,1,0,Cntrl ,Cntrl ,1
1011,17,NA,3,0,0,0,0,NoLoss,NA   ,1
1011,18,1,1,491,0.491,1,0,Gain  ,Gain  ,1
1011,19,2,2,414,0.414,1,0,Cntrl ,Cntrl ,1
1011,20,3,3,480,0.48,1,0,NoLoss,NoLoss,1
1011,21,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,22,2,2,283,0.283,1,1,Cntrl ,Cntrl ,1
1011,23,3,3,347,0.347,1,1,NoLoss,NoLoss,1
1011,24,1,1,428,0.428,1,0,Gain  ,Gain  ,1
1011,25,3,3,435,0.435,1,0,NoLoss,NoLoss,1
1011,26,2,2,364,0.364,1,1,Cntrl ,Cntrl ,1
1011,27,1,1,310,0.31,1,1,Gain  ,Gain  ,1
1011,28,3,3,387,0.387,1,1,NoLoss,NoLoss,1
1011,29,2,1,301,0.301,0,0,Gain  ,Cntrl ,1
1011,30,2,2,398,0.398,1,1,Cntrl ,Cntrl ,1
1011,31,3,3,339,0.339,1,1,NoLoss,NoLoss,1
1011,32,1,1,287,0.287,1,1,Gain  ,Gain  ,1
1011,33,2,2,432,0.432,1,0,Cntrl ,Cntrl ,1
1011,34,1,1,338,0.338,1,1,Gain  ,Gain  ,1
1011,35,2,3,387,0.387,0,0,NoLoss,Cntrl ,1
1011,36,3,2,432,0.432,0,0,Cntrl ,NoLoss,1
1011,37,1,1,444,0.444,1,0,Gain  ,Gain  ,1
1011,38,2,2,385,0.385,1,1,Cntrl ,Cntrl ,1
1011,39,3,3,323,0.323,1,1,NoLoss,NoLoss,1
1011,40,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,41,2,2,339,0.339,1,1,Cntrl ,Cntrl ,1
1011,42,3,3,408,0.408,1,0,NoLoss,NoLoss,1
1011,43,2,2,452,0.452,1,0,Cntrl ,Cntrl ,1
1011,44,NA,3,0,0,0,0,NoLoss,NA   ,1
1011,45,1,1,267,0.267,1,1,Gain  ,Gain  ,1
1011,46,2,2,266,0.266,1,1,Cntrl ,Cntrl ,1
1011,47,1,1,384,0.384,1,1,Gain  ,Gain  ,1
1011,48,3,3,412,0.412,1,0,NoLoss,NoLoss,1
1011,49,1,1,442,0.442,1,0,Gain  ,Gain  ,1
1011,50,2,2,294,0.294,1,1,Cntrl ,Cntrl ,1
1011,51,3,3,490,0.49,1,0,NoLoss,NoLoss,1
1011,52,2,2,387,0.387,1,1,Cntrl ,Cntrl ,1
1011,53,1,1,452,0.452,1,0,Gain  ,Gain  ,1
1011,54,3,3,496,0.496,1,0,NoLoss,NoLoss,1
1011,55,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,56,1,3,459,0.459,0,0,NoLoss,Gain  ,1
1011,57,1,1,383,0.383,1,1,Gain  ,Gain  ,1
1011,58,3,3,394,0.394,1,1,NoLoss,NoLoss,1
1011,59,2,2,248,0.248,1,1,Cntrl ,Cntrl ,1
1011,60,1,1,321,0.321,1,1,Gain  ,Gain  ,1
1011,61,3,3,361,0.361,1,1,NoLoss,NoLoss,1
1011,62,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,63,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,64,3,3,388,0.388,1,1,NoLoss,NoLoss,1
1011,65,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,66,1,1,411,0.411,1,0,Gain  ,Gain  ,1
1011,67,NA,3,0,0,0,0,NoLoss,NA   ,1
1011,68,2,1,427,0.427,0,0,Gain  ,Cntrl ,1
1011,69,2,2,368,0.368,1,1,Cntrl ,Cntrl ,1
1011,70,3,3,436,0.436,1,0,NoLoss,NoLoss,1
1011,71,1,1,463,0.463,1,0,Gain  ,Gain  ,1
1011,72,2,2,305,0.305,1,1,Cntrl ,Cntrl ,1
1011,73,3,3,410,0.41,1,0,NoLoss,NoLoss,1
1011,74,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,75,2,2,379,0.379,1,1,Cntrl ,Cntrl ,1
1011,76,3,3,348,0.348,1,1,NoLoss,NoLoss,1
1011,77,1,1,436,0.436,1,0,Gain  ,Gain  ,1
1011,78,2,2,318,0.318,1,1,Cntrl ,Cntrl ,1
1011,79,3,3,313,0.313,1,1,NoLoss,NoLoss,1
1011,80,1,1,429,0.429,1,0,Gain  ,Gain  ,1
1011,81,2,2,407,0.407,1,0,Cntrl ,Cntrl ,1
1011,82,1,1,422,0.422,1,0,Gain  ,Gain  ,1
1011,83,2,2,492,0.492,1,0,Cntrl ,Cntrl ,1
1011,84,3,3,430,0.43,1,0,NoLoss,NoLoss,1
1011,85,1,1,329,0.329,1,1,Gain  ,Gain  ,1
1011,86,2,2,306,0.306,1,1,Cntrl ,Cntrl ,1
1011,87,3,3,450,0.45,1,0,NoLoss,NoLoss,1
1011,88,2,2,481,0.481,1,0,Cntrl ,Cntrl ,1
1011,89,1,1,312,0.312,1,1,Gain  ,Gain  ,1
1011,90,3,3,387,0.387,1,1,NoLoss,NoLoss,1
1011,91,2,2,329,0.329,1,1,Cntrl ,Cntrl ,1
1011,92,1,1,380,0.38,1,1,Gain  ,Gain  ,1
1011,93,2,3,435,0.435,0,0,NoLoss,Cntrl ,1
1011,94,1,1,381,0.381,1,1,Gain  ,Gain  ,1
1011,95,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,96,3,3,394,0.394,1,1,NoLoss,NoLoss,1
1011,97,1,1,363,0.363,1,1,Gain  ,Gain  ,1
1011,98,NA,3,0,0,0,0,NoLoss,NA   ,1
1011,99,2,2,283,0.283,1,1,Cntrl ,Cntrl ,1
1011,100,1,1,407,0.407,1,0,Gain  ,Gain  ,1
1011,101,1,2,387,0.387,0,0,Cntrl ,Gain  ,1
1011,102,3,3,372,0.372,1,1,NoLoss,NoLoss,1
1011,103,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,104,3,3,362,0.362,1,1,NoLoss,NoLoss,1
1011,105,2,2,340,0.34,1,1,Cntrl ,Cntrl ,1
1011,106,1,3,380,0.38,0,0,NoLoss,Gain  ,1
1011,107,2,2,350,0.35,1,1,Cntrl ,Cntrl ,1
1011,108,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,109,2,2,497,0.497,1,0,Cntrl ,Cntrl ,1
