subj_idx,context,GroupCount,mean_P1,mean_P3,mean_Pz,mean_CPz,mean_CP2,mean_P2,mean_P4,mean_P6,mean_Con1,mean_Con2,mean_Con3
100501,FF,3,22.4645662,14.51148135,31.66334216,74.44996187,54.22962242,31.69980847,40.12064566,9.970225135,-1,-1,1
100501,FO,3,44.55063091,58.98420041,-19.8124733,86.05843809,-13.42399163,-19.79716457,34.48539021,-18.00183221,-1,1,-1
100501,OF,3,-31.43460218,51.27325401,-38.31032308,53.42090914,-38.03628508,-31.86241746,-19.78896101,-26.69666406,1,-1,-1
100501,OO,3,0.84170466,6.136951827,-3.965565364,-11.05472257,-11.03582838,-6.068056716,41.40018005,13.92088698,1,1,1
101510,FF,3,75.3322622,64.73627938,65.31166969,67.29464573,11.04061246,7.943333732,10.95009295,24.97594171,-1,-1,1
101510,FO,3,56.4716258,53.46508238,15.77028399,12.26017019,-0.706894636,0.490370856,4.085512479,7.495300876,-1,1,-1
101510,OF,3,-15.20719639,1.266825358,22.75256726,-36.12547239,6.556489229,-28.08247948,-21.4580183,0.428385364,1,-1,-1
101510,OO,3,-9.016301314,-7.035842896,-9.091578245,-1.487246831,-1.390268564,2.384167989,0.064891815,8.668843216,1,1,1
104521,FF,3,26.78745906,17.14397614,7.839813073,-23.4996292,15.60790385,-3.218914456,-5.011910756,-12.58900249,-1,-1,1
104521,FO,3,28.24013774,32.10793361,36.71239678,33.5525349,17.03449509,-3.475058026,6.723089536,-4.030554679,-1,1,-1
104521,OF,3,18.01925913,20.31426662,11.5404563,10.96818747,6.285200914,0.167032242,-2.746857325,8.011158082,1,-1,-1
104521,OO,3,25.94669024,30.89974156,32.95771615,37.16016532,11.96222819,-2.557996114,-15.9351937,-14.40663373,1,1,1
105530,FF,3,14.54311363,10.73136301,15.43929209,46.88722303,24.18850411,15.45925057,-0.238144676,-13.19123745,-1,-1,1
105530,FO,3,34.95447675,17.23330786,40.63970266,11.82685375,4.977289816,32.86024264,29.79921231,25.93452549,-1,1,-1
105530,OF,3,45.32623045,26.50038303,9.020901812,14.9935041,11.23831452,10.26492735,16.88192639,32.10115465,1,-1,-1
105530,OO,3,18.91536832,-12.22744075,15.44242077,46.12441582,50.56792579,19.02505664,21.83394513,15.60682519,1,1,1
106531,FF,3,45.3030722,3.314597706,49.93561618,42.80847486,34.50918836,48.61511809,-4.030350884,-19.53538016,-1,-1,1
106531,FO,3,-29.04197379,-38.12695597,-38.41737143,0.31864357,-6.628595591,-31.13848444,-22.90704938,-44.76720329,-1,1,-1
