subj_idx,context,GroupCount,mean_FC3,mean_FC1,mean_C3,mean_CP3,mean_P1,mean_P3,mean_P5,mean_Pz,mean_Con1,mean_Con2,mean_Con3
100501,FF,3,23.85134824,16.95657635,1.9104743,17.27808952,-2.949573358,-1.727955222,-0.350250483,-3.690376361,-1,-1,1
100501,FO,3,26.567578,22.79455598,15.54041974,117.7086544,11.63617934,12.88032236,13.88227852,7.114834335,-1,1,-1
100501,OF,3,24.6987222,-18.73195553,14.56964795,43.93112119,8.606368648,10.2154898,10.56192962,7.417209493,1,-1,-1
100501,OO,3,32.13737424,24.16589133,17.50331672,108.6250617,13.81807682,10.43657884,9.788487037,12.84719862,1,1,1
101510,FF,3,22.16647853,24.309698,14.85429615,14.72861687,7.727411429,7.956871563,7.577139828,7.132020632,-1,-1,1
101510,FO,3,-3.542950471,-1.143701235,-2.688473384,-3.311298529,-5.199907462,-4.621753375,10.02181146,9.728803953,-1,1,-1
101510,OF,3,16.2279599,15.48599699,-1.580040614,14.5741814,14.25375319,8.178550402,7.475507975,14.58069897,1,-1,-1
101510,OO,3,13.97139989,11.67848916,39.26181687,8.312452475,9.39900287,9.01641708,9.41904415,10.92207559,1,1,1
104521,FF,3,194.7892914,166.7928967,344.3501854,174.939045,176.0323573,140.0560362,121.164399,229.9184776,-1,-1,1
104521,FO,3,95.91552226,-92.11270396,151.4880714,102.7457263,-104.4687646,-68.05069733,-48.99350739,-149.3801365,-1,1,-1
104521,OF,3,195.6552378,199.0229399,132.6308835,178.8237623,210.7739883,167.373163,147.352406,266.0880023,1,-1,-1
104521,OO,3,-76.61008708,-74.46813202,-83.41608556,-80.85148493,-105.1618697,-81.2934494,-56.80840302,-148.4494826,1,1,1
105530,FF,3,87.69169786,87.24185138,87.01099692,96.00539356,16.67200089,6.291545868,0.826388041,20.39472834,-1,-1,1
105530,FO,3,96.44615343,92.95040343,96.70668581,107.7886475,104.1121364,106.1159672,129.7121692,102.945385,-1,1,-1
105530,OF,3,200.9290297,89.77609719,96.19065899,213.6677123,90.5050248,218.0835872,349.9886449,92.70358912,1,-1,-1
105530,OO,3,-20.19066874,-18.199042,-18.71208572,-21.8434995,-25.71875636,-20.94239171,-17.12658437,84.52427292,1,1,1
106531,FF,3,23.31431961,13.78229417,11.89921252,19.74559625,20.67418586,19.24697993,18.97282102,11.54354302,-1,-1,1
106531,FO,3,4.238850911,11.13766946,10.64501508,9.873684883,12.59904628,8.504447407,9.823135906,10.33446836,-1,1,-1
106531,OF,3,27.60527929,29.81530868,19.85620689,-5.403798103,-6.72180748,-5.485055606,-5.575668653,-4.440075715,1,-1,-1
106531,OO,3,-3.825960795,-6.892611821,-6.152395884,5.679671923,4.58782853,18.20637502,19.3193939,18.26084375,1,1,1
107540,FF,3,23.41906357,26.25237396,22.23673312,23.82442798,22.52756272,21.98126115,22.98899661,24.71851926,-1,-1,1
107540,FO,3,-1.414989471,-3.254421393,-3.042173386,-4.19311444,-2.823594888,-2.342209498,-4.390551567,-4.256692727,-1,1,-1
107540,OF,3,28.52786255,10.37538385,27.87991397,12.52017037,6.513907909,1.897059759,8.172322273,23.21311002,1,-1,-1
107540,OO,3,50.6863149,54.19865296,54.67690722,74.10653098,71.40932004,59.41124323,73.07311026,72.40685447,1,1,1
109551,FF,3,32.31344626,7.248588244,6.708602269,10.18549728,5.106992245,20.24860006,22.7372179,3.360202948,-1,-1,1
109551,FO,3,-20.86917941,19.56993008,22.71457481,22.14498605,5.984444141,-8.150789738,7.904096921,-8.19603459,-1,1,-1
