subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,TF_Stim,TF_Fix
12061,1,B,2,OO,0.408,1,1,0,1,Gain  ,-1,1,282.7492,283.1572,-0.659035116,-3.641979514
12061,1,B,3,OO,0.326,-1,1,1,-1,NoLoss,1,1,287.0692,287.3952,3.826468473,0.613951062
12061,1,B,4,OO,0.321,0,1,1,0,Cntrl ,0,2,291.0562,291.3772,2.390616367,2.065629269
12061,1,B,5,OO,0.382,-1,1,1,-1,NoLoss,1,2,294.9922,295.3742,0.227551056,-7.115023047
12061,1,B,6,OO,0.251,1,1,1,1,Gain  ,1,2,298.4452,298.6962,-2.104946062,-2.08218908
12061,1,B,7,OO,0.267,0,1,1,0,Cntrl ,0,1,301.9982,302.2652,-0.728064197,0.675102538
12061,1,B,8,OO,0.439,1,1,0,1,Gain  ,-1,1,305.5342,305.9732,2.252275049,0.052268414
12061,1,B,9,OO,0.327,-1,1,1,-1,NoLoss,1,1,309.3372,309.6642,-4.028411844,-1.118372812
12061,1,B,10,OO,0.395,0,1,1,0,Cntrl ,0,2,313.1412,313.5362,1.741779951,0.690055501
12061,1,B,11,OO,0.357,-1,1,1,-1,NoLoss,1,2,316.6102,316.9672,-1.137043517,-1.859115922
12061,1,B,12,OO,0.304,1,1,1,1,Gain  ,1,2,320.4972,320.8012,-5.067514414,-6.499862238
12061,1,B,13,OO,0.326,0,1,1,0,Cntrl ,0,1,324.2332,324.5592,-3.87393797,-3.781519849
12061,1,B,14,OO,0.303,-1,1,1,-1,NoLoss,1,1,327.6362,327.9392,-1.005373699,-0.045722369
12061,1,B,15,OO,0.321,1,1,1,1,Gain  ,1,1,331.8062,332.1272,-3.10686252,-6.543946237
12061,1,B,16,OO,0.362,-1,1,1,-1,NoLoss,1,2,335.8762,336.2382,-2.86723926,-2.971194458
12061,1,B,17,OO,0.31,1,1,1,1,Gain  ,1,2,339.7462,340.0562,-2.535007948,3.275505348
12061,1,B,18,OO,0.298,0,1,1,0,Cntrl ,0,2,343.4832,343.7812,0.310056205,-2.849082809
12061,1,B,19,OO,0.281,-1,1,1,-1,NoLoss,1,1,347.0522,347.3332,-1.511861755,3.386798692
12061,1,B,20,OO,0.355,-1,0,0,0,NoLoss,0,1,350.5052,350.8602,-4.009374807,-7.413926079
12061,1,B,21,OO,0.257,1,1,1,1,Gain  ,1,1,354.0252,354.2822,-4.043333199,0.445761203
12061,1,B,22,OO,0.343,0,1,1,0,Cntrl ,0,2,357.8782,358.2212,-0.81306748,-2.239254993
12061,1,B,23,OO,0.285,-1,1,1,-1,NoLoss,1,2,361.4642,361.7492,-3.606185303,3.718556091
12061,1,B,24,OO,0.293,1,1,1,1,Gain  ,1,2,365.0842,365.3772,4.816917015,6.047678987
12061,1,B,25,OO,0.287,2,0,0,-1,Cntrl ,-1,1,368.4872,368.7742,6.576593953,4.976435681
12061,1,B,26,OO,0.402,0,1,0,0,Cntrl ,0,1,372.7742,373.1762,-5.997559349,-3.38635088
12061,1,B,27,OO,0.267,1,1,1,1,Gain  ,1,1,376.7102,376.9772,-2.640403805,0.157952778
12061,1,B,28,OO,0.265,-1,1,1,-1,NoLoss,1,2,380.5972,380.8622,-3.001408319,-2.056983602
12061,1,B,29,OO,0.434,0,1,0,0,Cntrl ,0,2,384.3002,384.7342,5.879489287,3.550282033
12061,1,B,30,OO,0.384,1,1,1,1,Gain  ,1,2,387.9862,388.3702,-0.693199617,1.26020601
12061,1,B,31,OO,0.418,-1,1,0,-1,NoLoss,-1,1,392.2402,392.6582,3.534622162,1.734029872
12061,1,B,32,OO,0.439,1,1,0,1,Gain  ,-1,1,396.2432,396.6822,8.741491558,6.471152934
12061,1,B,33,OO,0.384,0,1,1,0,Cntrl ,0,1,400.3632,400.7472,-4.698666356,-4.144821553
12061,1,B,34,OO,0.375,-1,1,1,-1,NoLoss,1,2,404.7502,405.1252,8.460318618,6.28974525
12061,1,B,35,OO,0.277,1,1,1,1,Gain  ,1,2,408.2862,408.5632,-2.242789367,6.415553476
12061,1,B,36,OO,0.289,0,1,1,0,Cntrl ,0,2,411.9232,412.2122,2.232233922,0.43087499
12061,1,B,38,FO,0.377,1,1,1,1,Gain  ,0.5,1,430.2552,430.6322,-9.924992678,-10.20264711
12061,1,B,39,FO,0.293,-1,1,1,-1,NoLoss,0.5,1,433.9752,434.2682,0.417317155,5.267681751
12061,1,B,40,FO,0.3,1,1,1,1,Gain  ,0.5,2,437.8112,438.1112,3.93695522,2.877810681
12061,1,B,41,FO,0.354,0,1,1,0,Cntrl ,0,2,441.7642,442.1182,-5.912058151,-3.249312943
12061,1,B,42,FO,0.301,-1,1,1,-1,NoLoss,0.5,2,445.6682,445.9692,4.103549601,0.994725467
12061,1,B,43,FO,0.256,1,1,1,1,Gain  ,0.5,1,449.3712,449.6272,-0.615939762,0.807262684
12061,1,B,45,FO,0.272,-1,1,1,-1,NoLoss,0.5,1,456.2602,456.5322,-0.650824097,-2.735815438
