subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,TF_Stim,TF_Fix
12061,1,B,2,OO,0.408,1,1,0,1,Gain  ,-1,1,282.7492,283.1572,3.609900162,8.015605424
12061,1,B,3,OO,0.326,-1,1,1,-1,NoLoss,1,1,287.0692,287.3952,0.773726447,-0.043098688
12061,1,B,4,OO,0.321,0,1,1,0,Cntrl ,0,2,291.0562,291.3772,-1.064716227,0.605009928
12061,1,B,5,OO,0.382,-1,1,1,-1,NoLoss,1,2,294.9922,295.3742,3.113111572,1.747025951
12061,1,B,6,OO,0.251,1,1,1,1,Gain  ,1,2,298.4452,298.6962,-1.404343249,1.435697915
12061,1,B,7,OO,0.267,0,1,1,0,Cntrl ,0,1,301.9982,302.2652,2.037927369,2.100854025
12061,1,B,8,OO,0.439,1,1,0,1,Gain  ,-1,1,305.5342,305.9732,2.281030266,1.354004623
12061,1,B,9,OO,0.327,-1,1,1,-1,NoLoss,1,1,309.3372,309.6642,0.886234588,0.057853826
12061,1,B,10,OO,0.395,0,1,1,0,Cntrl ,0,2,313.1412,313.5362,-0.694863212,2.232674737
12061,1,B,11,OO,0.357,-1,1,1,-1,NoLoss,1,2,316.6102,316.9672,3.127870684,3.072190876
12061,1,B,12,OO,0.304,1,1,1,1,Gain  ,1,2,320.4972,320.8012,3.496192754,1.611783699
12061,1,B,13,OO,0.326,0,1,1,0,Cntrl ,0,1,324.2332,324.5592,1.357987082,2.010197746
12061,1,B,14,OO,0.303,-1,1,1,-1,NoLoss,1,1,327.6362,327.9392,-0.108950328,3.498809833
12061,1,B,15,OO,0.321,1,1,1,1,Gain  ,1,1,331.8062,332.1272,0.811114606,4.260839823
12061,1,B,16,OO,0.362,-1,1,1,-1,NoLoss,1,2,335.8762,336.2382,1.842182775,2.192841935
12061,1,B,17,OO,0.31,1,1,1,1,Gain  ,1,2,339.7462,340.0562,-0.090764655,1.936651032
12061,1,B,18,OO,0.298,0,1,1,0,Cntrl ,0,2,343.4832,343.7812,0.563773283,1.848139089
12061,1,B,19,OO,0.281,-1,1,1,-1,NoLoss,1,1,347.0522,347.3332,2.404155749,0.150627914
12061,1,B,20,OO,0.355,-1,0,0,0,NoLoss,0,1,350.5052,350.8602,0.380113943,1.205453425
12061,1,B,21,OO,0.257,1,1,1,1,Gain  ,1,1,354.0252,354.2822,1.343707326,0.927687234
12061,1,B,22,OO,0.343,0,1,1,0,Cntrl ,0,2,357.8782,358.2212,0.701599297,1.112973493
12061,1,B,23,OO,0.285,-1,1,1,-1,NoLoss,1,2,361.4642,361.7492,2.298545822,0.537665324
12061,1,B,24,OO,0.293,1,1,1,1,Gain  ,1,2,365.0842,365.3772,2.453594826,0.217565357
12061,1,B,25,OO,0.287,2,0,0,-1,Cntrl ,-1,1,368.4872,368.7742,1.24466489,-0.220256853
12061,1,B,26,OO,0.402,0,1,0,0,Cntrl ,0,1,372.7742,373.1762,-1.79252292,-2.918939756
