subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,Ave_TF
12061,1,B,2,OO,0.408,1,1,0,1,Gain  ,-1,1,282.7492,283.1572,5.64477655840211
12061,1,B,3,OO,0.326,-1,1,1,-1,NoLoss,1,1,287.0692,287.3952,0.336257701249655
12061,1,B,4,OO,0.321,0,1,1,0,Cntrl ,0,2,291.0562,291.3772,5.16729597052936
12061,1,B,5,OO,0.382,-1,1,1,-1,NoLoss,1,2,294.9922,295.3742,2.3732153640972
12061,1,B,6,OO,0.251,1,1,1,1,Gain  ,1,2,298.4452,298.6962,-0.12117442163882
12061,1,B,7,OO,0.267,0,1,1,0,Cntrl ,0,1,301.9982,302.2652,8.13888205355076
12061,1,B,8,OO,0.439,1,1,0,1,Gain  ,-1,1,305.5342,305.9732,3.72545092329709
12061,1,B,9,OO,0.327,-1,1,1,-1,NoLoss,1,1,309.3372,309.6642,3.69512090987381
12061,1,B,10,OO,0.395,0,1,1,0,Cntrl ,0,2,313.1412,313.5362,0.194710644691224
12061,1,B,11,OO,0.357,-1,1,1,-1,NoLoss,1,2,316.6102,316.9672,7.49550187083068
12061,1,B,12,OO,0.304,1,1,1,1,Gain  ,1,2,320.4972,320.8012,9.11236998813561
12061,1,B,13,OO,0.326,0,1,1,0,Cntrl ,0,1,324.2332,324.5592,1.45318096180674
12061,1,B,14,OO,0.303,-1,1,1,-1,NoLoss,1,1,327.6362,327.9392,6.12178637364361
12061,1,B,15,OO,0.321,1,1,1,1,Gain  ,1,1,331.8062,332.1272,0.0256889356578744
12061,1,B,16,OO,0.362,-1,1,1,-1,NoLoss,1,2,335.8762,336.2382,1.89082935749185
12061,1,B,17,OO,0.31,1,1,1,1,Gain  ,1,2,339.7462,340.0562,4.0701951797133
12061,1,B,18,OO,0.298,0,1,1,0,Cntrl ,0,2,343.4832,343.7812,1.60886551009143
12061,1,B,19,OO,0.281,-1,1,1,-1,NoLoss,1,1,347.0522,347.3332,7.64109036982186
12061,1,B,20,OO,0.355,-1,0,0,0,NoLoss,0,1,350.5052,350.8602,-1.22433693686923
12061,1,B,21,OO,0.257,1,1,1,1,Gain  ,1,1,354.0252,354.2822,-1.33637459186582
12061,1,B,22,OO,0.343,0,1,1,0,Cntrl ,0,2,357.8782,358.2212,-6.95511529294797
12061,1,B,23,OO,0.285,-1,1,1,-1,NoLoss,1,2,361.4642,361.7492,4.79163101130241
12061,1,B,24,OO,0.293,1,1,1,1,Gain  ,1,2,365.0842,365.3772,6.3410726842221
12061,1,B,25,OO,0.287,2,0,0,-1,Cntrl ,-1,1,368.4872,368.7742,11.5355397898605
12061,1,B,26,OO,0.402,0,1,0,0,Cntrl ,0,1,372.7742,373.1762,-1.57849133072714
12061,1,B,27,OO,0.267,1,1,1,1,Gain  ,1,1,376.7102,376.9772,-4.28523257287765
12061,1,B,28,OO,0.265,-1,1,1,-1,NoLoss,1,2,380.5972,380.8622,5.75326241240388
12061,1,B,29,OO,0.434,0,1,0,0,Cntrl ,0,2,384.3002,384.7342,-3.92693165263667
12061,1,B,30,OO,0.384,1,1,1,1,Gain  ,1,2,387.9862,388.3702,0.613457689730366
12061,1,B,31,OO,0.418,-1,1,0,-1,NoLoss,-1,1,392.2402,392.6582,-4.52404092864293
12061,1,B,32,OO,0.439,1,1,0,1,Gain  ,-1,1,396.2432,396.6822,-3.81302538701756
12061,1,B,33,OO,0.384,0,1,1,0,Cntrl ,0,1,400.3632,400.7472,3.10706191217287
12061,1,B,34,OO,0.375,-1,1,1,-1,NoLoss,1,2,404.7502,405.1252,-0.604188258647331
12061,1,B,35,OO,0.277,1,1,1,1,Gain  ,1,2,408.2862,408.5632,2.89148696856857
12061,1,B,36,OO,0.289,0,1,1,0,Cntrl ,0,2,411.9232,412.2122,2.03776447301107
12061,1,B,38,FO,0.377,1,1,1,1,Gain  ,0.5,1,430.2552,430.6322,2.31225571853843
12061,1,B,39,FO,0.293,-1,1,1,-1,NoLoss,0.5,1,433.9752,434.2682,7.83175140232336
12061,1,B,40,FO,0.3,1,1,1,1,Gain  ,0.5,2,437.8112,438.1112,0.464759702398283
