subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,TF_Stim,TF_Fix
12061,1,B,2,OO,0.408,1,1,0,1,Gain  ,-1,1,282.7492,283.1572,3.647829267,3.878663776
12061,1,B,3,OO,0.326,-1,1,1,-1,NoLoss,1,1,287.0692,287.3952,0.970334435,-2.329161579
12061,1,B,4,OO,0.321,0,1,1,0,Cntrl ,0,2,291.0562,291.3772,-0.058251384,-0.471114293
12061,1,B,5,OO,0.382,-1,1,1,-1,NoLoss,1,2,294.9922,295.3742,2.983409473,-4.688953809
12061,1,B,6,OO,0.251,1,1,1,1,Gain  ,1,2,298.4452,298.6962,-0.521723418,-2.666081269
12061,1,B,7,OO,0.267,0,1,1,0,Cntrl ,0,1,301.9982,302.2652,2.256200492,2.09442175
12061,1,B,8,OO,0.439,1,1,0,1,Gain  ,-1,1,305.5342,305.9732,7.540838751,1.721642979
12061,1,B,9,OO,0.327,-1,1,1,-1,NoLoss,1,1,309.3372,309.6642,-2.078792735,-5.928952842
12061,1,B,10,OO,0.395,0,1,1,0,Cntrl ,0,2,313.1412,313.5362,-5.135546192,1.313841993
12061,1,B,11,OO,0.357,-1,1,1,-1,NoLoss,1,2,316.6102,316.9672,-2.462076649,2.824752166
12061,1,B,12,OO,0.304,1,1,1,1,Gain  ,1,2,320.4972,320.8012,3.663420466,5.118278502
12061,1,B,13,OO,0.326,0,1,1,0,Cntrl ,0,1,324.2332,324.5592,-5.943357183,-5.27113574
12061,1,B,14,OO,0.303,-1,1,1,-1,NoLoss,1,1,327.6362,327.9392,-2.031673455,-4.160024402
12061,1,B,15,OO,0.321,1,1,1,1,Gain  ,1,1,331.8062,332.1272,-5.540779892,0.465202118
12061,1,B,16,OO,0.362,-1,1,1,-1,NoLoss,1,2,335.8762,336.2382,4.876838245,1.384709012
12061,1,B,17,OO,0.31,1,1,1,1,Gain  ,1,2,339.7462,340.0562,-0.119785189,5.774296881
12061,1,B,18,OO,0.298,0,1,1,0,Cntrl ,0,2,343.4832,343.7812,-1.774402821,-0.359757409
12061,1,B,19,OO,0.281,-1,1,1,-1,NoLoss,1,1,347.0522,347.3332,-1.467810054,2.9769345
12061,1,B,20,OO,0.355,-1,0,0,0,NoLoss,0,1,350.5052,350.8602,0.911265225,4.101071358
12061,1,B,21,OO,0.257,1,1,1,1,Gain  ,1,1,354.0252,354.2822,-0.50067468,-3.000798669
12061,1,B,22,OO,0.343,0,1,1,0,Cntrl ,0,2,357.8782,358.2212,-4.662675225,-1.957683607
